238996.556;204738.530
239003.500;204740.300
239012.500;204744.000
239017.000;204745.400
239037.500;204700.300
239050.700;204750.300
239055.200;204749.400
239063.100;204746.600
239085.200;204700.300
239092.300;204729.100
239099.400;204726.600
239121.500;204724.500
239131.600;204727.400
239145.500;204730.300
239151.100;204728.500
239152.000;204724.400
239149.000;204714.300
239100.600;204709.800
239157.600;204705.900
239158.700;204703.700
239157.600;204697.700
239153.200;204691.300
239151.400;204692.600
239145.600;204699.600
239138.600;204704.400
239133.800;204708.600
239130.100;204710.600
239126.200;204712.300
239200.700;204713.200
239115.500;204713.900
239101.400;204714.000
239094.500;204716.000
239076.700;204723.600
239055.400;204735.000
239047.100;204735.600
239041.970;204734.800
239023.400;204730.900
239017.200;204728.000
